datetime,open,high,low,close,volume,support,resis
2021-11-21 13:00:00,223.63,223.7,220.93,221.17,8248.60500758,40.59,290.56
2021-11-21 14:00:00,221.11,222.53,220.28,221.67,8266.60569627,40.59,290.56
2021-11-21 15:00:00,221.72,224.85,220.89,224.38,10679.88815071,40.59,290.56
2021-11-21 16:00:00,224.39,229.86,223.57,229.22,22806.73489959,40.59,290.56
2021-11-21 17:00:00,229.19,230.87,226.44,227.54,15987.63655421,40.59,290.56
2021-11-21 18:00:00,227.69,227.85,225.54,226.34,8997.72216221,40.59,290.56
2021-11-21 19:00:00,226.34,226.96,225.06,225.28,6929.93298267,40.59,290.56
2021-11-21 20:00:00,225.28,226.88,225.09,226.34,7853.25418949,40.59,290.56
2021-11-21 21:00:00,226.44,227.73,226.22,227.14,8341.43224767,40.59,290.56
2021-11-21 22:00:00,227.26,227.9,222.95,224.77,16266.70802024,40.59,290.56
2021-11-21 23:00:00,224.73,225.92,220.93,221.48,19181.22732663,40.59,290.56
2021-11-22 00:00:00,221.49,221.96,216.27,216.47,37309.87788055,40.59,290.56
2021-11-22 01:00:00,216.47,218.8,214.66,217.39,29297.48833744,40.59,290.56
2021-11-22 02:00:00,217.38,220.9,213.73,216.19,19748.76216402,40.59,290.56
2021-11-22 03:00:00,216.06,217.02,213.5,215.24,21405.86458625,40.59,290.56
2021-11-22 04:00:00,215.2,216.55,210.35,212.01,23203.31507295,40.59,290.56
2021-11-22 05:00:00,211.99,214.73,210.44,214.73,20314.37097078,40.59,290.56
2021-11-22 06:00:00,214.73,215.1,213.27,214.22,6747.71482849,40.59,290.56
2021-11-22 07:00:00,214.28,216.59,214.08,214.84,7080.5125126,40.59,290.56
2021-11-22 08:00:00,214.82,216.27,214.75,215.57,4904.22902461,40.59,290.56
2021-11-22 09:00:00,215.45,217.96,214.75,214.75,6295.78516325,40.59,290.56
2021-11-22 10:00:00,214.7,216.31,213.64,216.14,6404.26220613,40.59,290.56
2021-11-22 11:00:00,216.04,216.92,214.44,214.56,4860.83497639,40.59,290.56
2021-11-22 12:00:00,214.68,217.39,213.86,214.6,15095.33124495,40.59,290.56
2021-11-22 13:00:00,214.44,219.78,210.74,217.72,29226.66415934,40.59,290.56
2021-11-22 14:00:00,217.75,218.38,215.1,216.19,14231.99340384,40.59,290.56
2021-11-22 15:00:00,216.46,217.27,215.24,215.45,14924.29700112,40.59,290.56
2021-11-22 16:00:00,215.55,216.2,213.9,214.84,11075.76918792,40.59,290.56
2021-11-22 17:00:00,214.78,215.18,212.86,214.04,14988.19924282,40.59,290.56
2021-11-22 18:00:00,214.1,214.15,210.91,211.11,17256.32362211,40.59,290.56
2021-11-22 19:00:00,211.02,213.3,205.31,206.66,37286.46408193,40.59,290.56
2021-11-22 20:00:00,206.71,208.78,205.93,207.28,19301.64779299,40.59,290.56
2021-11-22 21:00:00,207.31,208.79,206.01,208.56,24135.64160837,40.59,290.56
2021-11-22 22:00:00,208.57,211.58,207.6,211.5,13859.60149326,40.59,290.56
2021-11-22 23:00:00,211.5,211.6,208.74,209.22,12471.67164308,40.59,290.56
2021-11-23 00:00:00,209.13,211.95,206.85,209.96,16161.55091987,40.59,290.56
2021-11-23 01:00:00,209.97,211.24,209.05,209.69,13477.77506895,40.59,290.56
2021-11-23 02:00:00,209.69,211.58,209.09,211.36,14021.17981068,40.59,290.56
2021-11-23 03:00:00,211.41,212.46,210.4,210.82,9654.32937066,40.59,290.56
2021-11-23 04:00:00,210.8,211.44,210.22,210.3,6542.72562917,40.59,290.56
2021-11-23 05:00:00,210.35,210.6,208.21,209.04,12391.88155075,40.59,290.56
2021-11-23 06:00:00,209.05,209.67,207.71,209.34,6792.89307637,40.59,290.56
2021-11-23 07:00:00,209.35,209.42,206.21,206.64,7277.75613526,40.59,290.56
2021-11-23 08:00:00,206.64,208.78,205.64,208.42,8742.90323955,40.59,290.56
2021-11-23 09:00:00,208.53,213.57,205.28,209.58,19159.4751592,40.59,290.56
2021-11-23 10:00:00,209.67,213.68,207.91,209.06,15258.44762484,40.59,290.56
2021-11-23 11:00:00,209.06,210.1,207.41,207.89,8095.59012409,40.59,290.56
2021-11-23 12:00:00,207.97,208.82,207.24,208.16,7061.07068106,40.59,290.56
2021-11-23 13:00:00,208.32,215.38,208.18,211.72,17510.19533684,40.59,290.56
2021-11-23 14:00:00,211.73,214.95,210.94,214.71,13098.60985398,40.59,290.56
2021-11-23 15:00:00,214.57,214.89,211.66,211.86,11038.23722111,40.59,290.56
2021-11-23 16:00:00,211.92,213.55,211.33,212.92,11271.06549712,40.59,290.56
2021-11-23 17:00:00,212.95,213.63,211.96,212.55,9536.56267579,40.59,290.56
2021-11-23 18:00:00,212.57,212.83,210.54,211.99,13638.75937877,40.59,290.56
2021-11-23 19:00:00,211.99,214.21,211.19,214.16,9705.82830678,40.59,290.56
2021-11-23 20:00:00,214.16,215.07,213.45,214.95,11613.70580187,40.59,290.56
2021-11-23 21:00:00,214.9,214.97,213.66,214.43,8056.02527985,40.59,290.56
2021-11-23 22:00:00,214.44,215.26,213.34,213.85,9164.89842809,40.59,290.56
2021-11-23 23:00:00,213.89,218.89,213.55,216.32,20588.11242119,40.59,290.56
2021-11-24 00:00:00,216.28,216.43,216.28,216.41,137.70838413,40.59,290.56
2021-11-24 01:00:00,216.41,216.65,213.22,213.37,11535.65882847,40.59,290.56
2021-11-24 02:00:00,213.37,213.91,209.28,209.76,17884.87563875,40.59,290.56
2021-11-24 03:00:00,209.81,211.13,209.52,210.8,11028.40494656,40.59,290.56
2021-11-24 04:00:00,210.79,212.48,210.09,212.12,8532.93685175,40.59,290.56
2021-11-24 05:00:00,212.13,212.99,211.79,212.34,8666.8146867,40.59,290.56
2021-11-24 06:00:00,212.4,213.1,209.86,212.72,15420.50570365,40.59,290.56
2021-11-24 07:00:00,212.74,215.87,212.28,213.31,10968.63185225,40.59,290.56
2021-11-24 08:00:00,213.28,216.17,212.96,214.29,12368.54843383,40.59,290.56
2021-11-24 09:00:00,214.24,214.55,211.27,211.59,9770.39983723,40.59,290.56
2021-11-24 10:00:00,211.68,212.57,209.58,209.79,9260.76233353,40.59,290.56
2021-11-24 11:00:00,209.76,211.67,209.62,210.93,7229.35896733,40.59,290.56
2021-11-24 12:00:00,210.9,211.99,209.98,211.1,10813.19798966,40.59,290.56
2021-11-24 13:00:00,211.1,212.67,208.36,208.41,13797.95406702,40.59,290.56
2021-11-24 14:00:00,208.59,209.66,206.01,207.65,22751.27275924,40.59,290.56
2021-11-24 15:00:00,207.51,210.54,206.71,209.64,19997.66982062,40.59,290.56
2021-11-24 16:00:00,209.45,210.04,207.28,207.89,16517.55355462,40.59,290.56
2021-11-24 17:00:00,207.96,209.25,207.92,208.46,3812.73180597,40.59,290.56
2021-11-24 18:00:00,206.95,209.51,206.86,208.67,11255.47016904,40.59,290.56
2021-11-24 19:00:00,208.67,209.02,206.42,207.83,10065.28379201,40.59,290.56
2021-11-24 20:00:00,207.82,210.49,206.88,210.33,10684.67050929,40.59,290.56
2021-11-24 21:00:00,210.33,211.78,209.51,210.89,10750.61336624,40.59,290.56
2021-11-24 22:00:00,210.89,212.26,210.25,212.26,6438.60252727,40.59,290.56
2021-11-24 23:00:00,212.27,212.93,211.46,212.21,14930.13723664,40.59,290.56
2021-11-25 00:00:00,212.21,216.51,210.77,215.86,21285.24775625,40.59,290.56
2021-11-25 01:00:00,215.85,219.24,215.56,218.73,19598.38382549,40.59,290.56
2021-11-25 02:00:00,218.67,223.23,218.59,220.32,32106.35629355,40.59,290.56
2021-11-25 03:00:00,220.37,220.45,219.19,219.75,11959.95199771,40.59,290.56
2021-11-25 04:00:00,219.8,219.91,215.65,218.54,31503.09325163,40.59,290.56
2021-11-25 05:00:00,218.47,218.51,215.6,216.41,11011.74238458,40.59,290.56
2021-11-25 06:00:00,216.55,218.17,214.39,215.79,9538.35304988,40.59,290.56
2021-11-25 07:00:00,215.87,217.93,215.8,217.41,7808.70787507,40.59,290.56
2021-11-25 08:00:00,217.43,218.05,215.82,215.84,6784.08868072,40.59,290.56
2021-11-25 09:00:00,215.81,217.31,214.39,216.86,7991.49177753,40.59,290.56
2021-11-25 10:00:00,216.92,224.6,216.36,221.87,29532.22379769,40.59,290.56
2021-11-25 11:00:00,221.89,223.81,221.44,222.79,15047.05232224,40.59,290.56
2021-11-25 12:00:00,222.77,229.82,222.37,229.82,31100.08625951,40.59,290.56
2021-11-25 13:00:00,229.76,229.81,227.01,227.86,17028.95190233,40.59,290.56
2021-11-25 14:00:00,227.88,228.87,227.06,227.79,12115.83521583,40.59,290.56
2021-11-25 15:00:00,227.88,229.03,225.79,226.78,18977.36555681,40.59,290.56
2021-11-25 16:00:00,226.73,227.56,225.68,226.9,21524.43523674,40.59,290.56
2021-11-25 17:00:00,226.88,227.45,224.7,226.47,9592.97961297,40.59,290.56
2021-11-25 18:00:00,226.43,226.47,224.69,225.93,6286.13013812,40.59,290.56
2021-11-25 19:00:00,225.97,225.98,222.94,223.49,19656.01422232,40.59,290.56
2021-11-25 20:00:00,223.48,224.36,223.19,223.46,5909.79797036,40.59,290.56
2021-11-25 21:00:00,223.47,224.03,221.65,221.76,14032.73418332,40.59,290.56
2021-11-25 22:00:00,221.76,223.93,220.79,223.74,7177.93468983,40.59,290.56
2021-11-25 23:00:00,223.74,225.71,222.56,223.05,11161.01137404,40.59,290.56
2021-11-26 00:00:00,223.13,224.96,220.95,221.46,12113.1371202,40.59,290.56
2021-11-26 01:00:00,221.44,223.53,221.0,221.29,8763.33967407,40.59,290.56
2021-11-26 02:00:00,221.22,221.57,218.18,218.46,14031.20812481,40.59,290.56
2021-11-26 03:00:00,218.57,220.22,216.04,216.35,11132.1634345,40.59,290.56
2021-11-26 04:00:00,216.28,217.91,215.64,216.91,9663.1259167,40.59,290.56
2021-11-26 05:00:00,216.91,217.52,214.85,217.29,10297.86257892,40.59,290.56
2021-11-26 06:00:00,217.25,217.93,215.89,217.0,7395.71074088,40.59,290.56
2021-11-26 07:00:00,216.91,217.54,209.01,211.65,22610.18439687,40.59,290.56
2021-11-26 08:00:00,211.69,211.72,190.26,197.24,113700.95423884,40.59,290.56
2021-11-26 09:00:00,197.24,199.06,194.35,195.44,37092.56097507,40.59,290.56
2021-11-26 10:00:00,195.26,195.84,193.74,194.08,19880.26941342,40.59,290.56
2021-11-26 11:00:00,194.1,196.6,190.66,191.05,33572.45653285,40.59,290.56
2021-11-26 12:00:00,191.11,195.67,190.12,195.67,38958.21379023,40.59,290.56
2021-11-26 13:00:00,195.63,198.58,193.7,198.2,25730.11589973,40.59,290.56
2021-11-26 14:00:00,198.11,199.63,196.74,197.82,30871.23763931,40.59,290.56
2021-11-26 15:00:00,197.83,197.83,195.44,196.1,17780.41094294,40.59,290.56
2021-11-26 16:00:00,196.15,198.87,194.87,197.86,22885.07574108,40.59,290.56
2021-11-26 17:00:00,197.86,200.24,197.43,197.48,20393.86333268,40.59,290.56
2021-11-26 18:00:00,197.46,197.98,195.32,196.93,21430.33829129,40.59,290.56
